Frequency,Strategy,Initial Value,Final Value,Total Return,Return Percentage
1,Ucb,100000.0,121270.72396155212,21270.723961552125,21.270723961552125
1,Epsilon Greedy,100000.0,113811.548613226,13811.548613225998,13.811548613225996
1,Thompson,100000.0,112251.14772319957,12251.147723199567,12.251147723199567
1,Buy And Hold,100000.0,85833.08300348316,-14166.91699651684,-14.16691699651684
5,Ucb,100000.0,122781.60526811559,22781.605268115585,22.781605268115584
5,Epsilon Greedy,100000.0,114116.1697975049,14116.169797504903,14.116169797504902
5,Thompson,100000.0,113285.00546699518,13285.005466995179,13.285005466995178
5,Buy And Hold,100000.0,85833.08300348316,-14166.91699651684,-14.16691699651684
10,Ucb,100000.0,123092.85081413321,23092.850814133213,23.092850814133214
10,Epsilon Greedy,100000.0,113735.62625280909,13735.626252809088,13.735626252809089
10,Thompson,100000.0,112340.18540016476,12340.185400164759,12.340185400164758
10,Buy And Hold,100000.0,85833.08300348316,-14166.91699651684,-14.16691699651684
30,Ucb,100000.0,118595.43751391515,18595.437513915153,18.595437513915154
30,Epsilon Greedy,100000.0,110656.00763330636,10656.007633306363,10.656007633306363
30,Thompson,100000.0,109671.95986825693,9671.959868256934,9.671959868256934
30,Buy And Hold,100000.0,85833.08300348316,-14166.91699651684,-14.16691699651684
